estaba,estabas,estábamos,estabais,estaban
era,eras,éramos,erais,eran
tenía,tenías,teníamos,teníais,tenían
iba,ibas,íbamos,ibais,iban
quería,querías,queríamos,querías,querían
podía,podías,podíamos,podíais,podían
servía,servías,servíamos,servíais,servían
venía,venías,veníamos,veníais,venían
decía,decías,decíamos,decíais,decían
daba,dabas,davámos,dabais,daban
oía,oías,oíamos,oíais,oían
veía,veías,veíamos,veíais,veían
hacía,hacías,hacíamos,hacíais,hacían
ponía,ponías,poníamos,poníais,ponían
estudiaba,estudiabas,estudiámos,estudiabais,estudiaban
ponía,ponías,poníamos,poníais,ponían
tomaba,tomabas,tomábamos,tomabais,tomaban
hablaba,hablabas,hablábamos,hablabais,hablaban
comía,comías,comíamos,comíais,comían
vivía,vivías,vivíamos,vivías,vivían
vendía,vendías,vendíamos,vendíais,vendían
abría,abrías,abríamos,abríais,abrían
aprendía,aprendías,aprendíamos,aprendíais,aprendían
entraba,entrabas,entrábamos,entrabais,entraban
miraba,mirabas,mirabámos,mirabais,miraban
lavaba,lavabas,lavábamos,lavabais,lavaban
gustaba,gustabas,gustábamos,gustabais,gustaban
llamaba,llamabas,llamabámos,llamabais,llamaban
usaba,usabas,usábamos,usabais,usaban
leía,leías,leíamos,leíais,leían
corría,corrías,corríamos,corríais,corrían
permitía,permitías,permitíamos,permitíais,permitían